n01797886_8416,n01807496_6388
n02441942_27116,n02442845_30137
n02107683_6046,n02107908_3974
n01753488_8341,n01756291_13127
n02441942_13120,n02442845_574
n03782006_40413,n04152593_74897
n04560804_4557,n04579145_1076
n01667114_1986,n01667778_4864
n02992529_8967,n03425413_9159
n03773504_12806,n04008634_27048
n02108089_20313,n03803284_13607
n03017168_57192,n03447721_45859
n02093256_676,n02093428_885
n02325366_4805,n02364673_8134
n03782006_29310,n04152593_60219
n02114367_13504,n02114548_9542
n02791124_9744,n02791270_10353
n03372029_70850,n03838899_49557
n02168699_4994,n02169497_6588
n03773504_9314,n04008634_14893
n02669723_4760,n03787032_1253
n01665541_5503,n01667778_4194
n03773504_8825,n04008634_22181
n01872401_3787,n04033901_7395
n03710637_3911,n03710721_8291
n01797886_19563,n01807496_21368
n03690938_3379,n03742115_4722
n03085013_20416,n04505470_4540
n02025239_625,n02027492_814
n03832673_4053,n04154565_334
n02096294_2559,n02102177_2386
n01644373_426,n01644900_12020
n03372029_47612,n03884397_26733
n03710637_2675,n03710721_5710
n03109150_44831,n07892512_19885
n02395406_3109,n02396427_1792
n02441942_10425,n02443484_12172
n02106030_3491,n02106166_1431
n01797886_165,n01807496_136
n03197337_7341,n04328186_20654
n02791124_9918,n02791270_10937
n02114712_5221,n02114855_8564
n02107908_11522,n02108000_6658
n04201297_10455,n04239074_9975
n01871265_1724,n02504458_2778
n03710637_6959,n03710721_3162
n01797886_3011,n01807496_2558
n01753488_8477,n01756291_13354
n04399382_3061,n04462240_647
n03773504_9271,n04008634_22512
n02096294_888,n02097658_2525
n03187595_13295,n03902125_20354
n02325366_3506,n02326432_5688
n01729977_15131,n01739381_4652
n01729977_5766,n01739381_1921
n01753488_2433,n01756291_3902
n02988304_2316,n04392985_1604
n02002556_8116,n02002724_1388
n03290653_10673,n04404412_12872
n02119789_11724,n02120505_18331
n02895154_20012,n03146219_9078
n13037406_2598,n13052670_10252
n02486261_10177,n02487347_12593
n02966687_2053,n04154565_4037
n02669723_7122,n03787032_6685
n03290653_7715,n04392985_9160
n03773504_1362,n04008634_29294
n04355933_1546,n04356056_5731
n03125729_2160,n03131574_20855
n02113023_3421,n02113186_2875
n02790996_11426,n03255030_10835
n02403003_7151,n03868242_466
n02412080_61468,n02415577_75551
n02102040_142,n02102318_4583
n02395406_3005,n02396427_1735
n02091032_108,n02096585_1813
n03690938_7646,n04116512_16363
n01740131_21477,n01744401_11218
n01682714_3606,n01693334_3148
n02107574_3545,n02107908_8549
n01630670_1259,n01632458_1096
n01729977_16304,n01739381_5914
n02093647_604,n02095314_552
n03481172_6645,n03954731_9994
n02268443_167,n02268853_28
n03710637_7421,n03710721_15791
n01728572_6628,n01734418_7537
n03710637_12813,n03710721_25547
n02119022_3218,n02119789_1762
n01944390_2943,n01986214_5524
n01984695_7612,n01985128_5881
n01797886_3251,n01807496_8199
n01978287_8035,n01981276_13590
n02096294_1062,n02097658_3037
n02096294_6350,n02097658_2256
n02094114_1696,n02094258_1408
n03017168_38929,n03447721_22597
n04040759_13670,n04154565_9697
n02690373_1074,n04592741_11000
n02109961_1824,n02110185_1280
n02395406_7917,n02396427_4620
n02403003_4552,n03868242_2552
n01871265_7765,n02396427_22403
n02443114_42769,n02447366_32186
n01755581_3069,n01756291_1555
